M/Z,Intensity
34.48052,7.1503268
34.597302,7.1895425
34.714306,7.2352941
34.831531,7.2843137
34.948978,7.2189542
35.066646,7.1699346
35.184536,7.1503268
35.302647,7.1405229
35.42098,7.1437908
35.539535,7.1470588
35.658311,7.127451
35.777309,7.130719
35.896528,7.120915
36.015969,7.120915
36.135631,7.1078431
36.255515,7.1111111
36.375621,7.1111111
36.495948,7.1339869
36.616496,7.1503268
36.737266,7.1633987
36.858258,7.3169935
36.979472,7.3496732
37.100907,7.1699346
37.222563,7.1535948
37.344441,7.1601307
37.466541,7.1405229
37.588862,7.1372549
37.711405,7.1176471
37.834169,7.1633987
37.957155,7.124183
38.080362,7.1372549
38.203791,7.1568627
38.327442,7.1503268
38.451314,7.1372549
38.575408,7.1339869
38.699723,7.130719
38.82426,7.1405229
38.949018,7.1339869
39.073998,7.1339869
39.199199,7.1699346
39.324623,7.1503268
39.450267,7.124183
39.576133,7.1405229
39.702221,7.1437908
39.828531,7.130719
39.955061,7.1176471
40.081814,7.124183
40.208788,7.124183
40.335984,7.1111111
40.463401,7.1045752
40.591039,7.0980392
40.7189,7.0915033
40.846982,7.1013072
40.975285,7.1143791
41.10381,7.1372549
41.232557,7.127451
41.361525,7.1176471
41.490714,7.1045752
41.620126,7.1176471
41.749758,7.0915033
41.879613,7.1078431
42.009689,7.127451
42.139986,7.130719
42.270505,7.120915
42.401246,7.130719
42.532208,7.127451
42.663392,7.1078431
42.794797,7.1176471
42.926424,7.127451
43.058273,7.1143791
43.190343,7.1143791
43.322634,7.1111111
43.455147,7.0980392
43.587882,7.0980392
43.720838,7.0980392
43.854016,7.1437908
43.987416,7.1993464
44.121037,7.1633987
44.254879,7.2124183
44.388943,7.1666667
44.523229,7.1535948
44.657736,7.1535948
44.792465,7.1601307
44.927415,7.1339869
45.062587,7.1437908
45.197981,7.1437908
45.333596,7.1666667
45.469433,7.1339869
45.605491,7.124183
45.741771,7.1372549
45.878272,7.1339869
46.014995,7.127451
46.151939,7.1339869
46.289105,7.1568627
46.426493,7.2254902
46.564102,7.1797386
46.701933,7.1503268
46.839985,7.1339869
46.978259,7.1372549
47.116754,7.1633987
47.255471,7.130719
47.39441,7.1437908
47.53357,7.1372549
47.672952,7.1437908
47.812555,7.124183
47.95238,7.1045752
48.092426,7.1111111
48.232694,7.1045752
48.373183,7.130719
48.513895,7.124183
48.654827,7.1437908
48.795981,7.130719
48.937357,7.1176471
49.078954,7.1339869
49.220773,7.1405229
49.362814,7.1372549
49.505076,7.127451
49.647559,7.127451
49.790265,7.130719
49.933191,7.1339869
50.076339,7.1339869
50.219709,7.127451
50.363301,7.1143791
50.507114,7.1078431
50.651148,7.1143791
50.795404,7.1568627
50.939882,7.127451
51.084581,7.124183
51.229502,7.1339869
51.374644,7.120915
51.520008,7.0915033
51.665594,7.1797386
51.811401,7.130719
51.95743,7.1143791
52.10368,7.1078431
52.250151,7.124183
52.396845,7.1437908
52.54376,7.120915
