M/Z,Intensity
38.575408,7.1143791
38.699723,7.130719
38.82426,7.1372549
38.949018,7.1339869
39.073998,7.127451
39.199199,7.130719
39.324623,7.1143791
39.450267,7.120915
39.576133,7.120915
39.702221,7.127451
39.828531,7.1339869
39.955061,7.1372549
40.081814,7.1372549
40.208788,7.130719
40.335984,7.1143791
40.463401,7.1176471
40.591039,7.124183
40.7189,7.1176471
40.846982,7.1143791
40.975285,7.127451
41.10381,7.127451
41.232557,7.1176471
41.361525,7.1013072
41.490714,7.0947712
41.620126,7.1013072
41.749758,7.1045752
41.879613,7.127451
42.009689,7.1176471
42.139986,7.130719
42.270505,7.120915
42.401246,7.1013072
42.532208,7.0980392
42.663392,7.1111111
42.794797,7.1437908
42.926424,7.1405229
43.058273,7.1372549
43.190343,7.1568627
43.322634,7.120915
43.455147,7.1045752
43.587882,7.1045752
43.720838,7.1895425
43.854016,7.1633987
43.987416,7.1176471
44.121037,7.127451
44.254879,7.1372549
44.388943,7.1568627
44.523229,7.1372549
44.657736,7.1372549
44.792465,7.1503268
44.927415,7.124183
45.062587,7.1405229
45.197981,7.1372549
45.333596,7.1732026
45.469433,7.1503268
45.605491,7.1535948
45.741771,7.1568627
45.878272,7.1633987
46.014995,7.1797386
46.151939,7.1666667
46.289105,7.1764706
46.426493,7.1601307
46.564102,7.1339869
46.701933,7.1960784
46.839985,7.1568627
46.978259,7.1993464
47.116754,7.1699346
47.255471,7.1699346
47.39441,7.245098
47.53357,7.1764706
47.672952,7.1437908
47.812555,7.1732026
47.95238,7.1732026
48.092426,7.1928105
48.232694,7.1568627
48.373183,7.1764706
48.513895,7.2156863
48.654827,7.1699346
48.795981,7.1764706
48.937357,7.1568627
49.078954,7.1339869
49.220773,7.2091503
49.362814,7.1699346
49.505076,7.1666667
49.647559,7.1568627
49.790265,7.1405229
49.933191,7.1699346
50.076339,7.1699346
50.219709,7.1568627
50.363301,7.1535948
50.507114,7.1568627
50.651148,7.1405229
50.795404,7.1437908
50.939882,7.1437908
51.084581,7.120915
51.229502,7.1045752
51.374644,7.1339869
51.520008,7.1111111
51.665594,7.1830065
51.811401,7.127451
51.95743,7.1666667
52.10368,7.124183
52.250151,7.1470588
52.396845,7.1928105
52.54376,7.1601307
52.690896,7.124183
52.838254,7.1045752
52.985834,7.1535948
53.133635,7.1601307
53.281658,7.130719
53.429902,7.1437908
53.578368,7.1666667
53.727055,7.1535948
53.875964,7.1339869
54.025095,7.1078431
54.174447,7.1111111
54.32402,7.1405229
54.473816,7.1928105
54.623832,7.1928105
54.774071,7.1633987
54.924531,7.2124183
55.075212,7.2352941
55.226115,7.1797386
55.37724,7.1797386
55.528586,7.1732026
55.680154,7.1535948
55.831943,7.1601307
55.983954,7.1797386
56.136186,7.1470588
56.28864,7.1437908
